Chroma_stft,RMS,Spectral Centroid,Spectral Bandwidth,Rolloff,Zero Crossing Rate,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Label
0.40370438,0.0075853784,3533.3718108454023,2919.807568394554,5719.1692483836205,0.1249663254310344,-550.71606,122.01088,-8.83053,28.393467,-19.341688,20.020088,-9.667645,-7.6135354,-7.022205,-10.1312685,-8.989471,-3.6804347,-4.385716,-5.1738505,-5.49619,-6.921302,-4.9386153,-5.349687,-11.418724,-10.371622,FAKE
0.36933997,0.13172214,3050.9061788432737,2703.378144098275,5097.428946659483,0.0938903107040229,-218.16992,137.72015,-34.20056,16.331625,-36.317684,11.037749,-22.304842,0.85772496,-16.834385,-11.607339,-7.574295,16.878798,-3.132033,-7.415081,-0.4565343,-12.593589,-4.5159187,-5.106251,-6.9351535,-9.584299,FAKE
0.47644654,0.032177106,1897.1940555938315,2398.724276329645,3017.6185344827586,0.0505511404454023,-355.66376,169.36792,3.0604908,34.761436,-7.3918333,3.3206458,-24.267061,0.086448185,-8.725933,0.33964008,-3.3124764,-1.7358397,7.409988,-5.3603563,-2.3869913,4.635518,0.87107533,4.072935,0.5151921,-8.463789,FAKE
0.49995336,0.025722139,3424.081712158252,3067.8261404130258,6395.608836206897,0.0903600933908046,-393.9632,108.44803,-17.9618,54.535606,-14.114421,11.922325,6.9887295,9.598572,-4.3222456,5.612175,-1.7868499,3.5373194,0.28713605,-0.47739857,2.8709793,-0.6439963,4.284904,8.9755945,7.9495597,4.9560423,FAKE
0.5209484,0.057822064,3676.4484134858,3066.169263180899,6619.851158405172,0.1106770833333333,-302.2004,112.66261,-29.106064,67.998344,-24.397366,17.71639,-12.9077425,7.572126,-4.030392,-4.2312827,1.4728881,-3.7799242,7.876361,-4.898604,7.6210866,-2.6822252,5.875219,3.0693398,3.7422707,2.244671,FAKE
0.3781443,0.07171848,1701.1030117000464,2623.5814450583084,3116.6217672413795,0.0301780262212643,-284.40698,180.08899,-14.793593,18.75291,-6.5988975,22.223644,-24.985025,9.363725,-18.060947,-9.897051,-6.016375,1.5270103,-18.93416,-2.7671058,6.701946,-11.566708,-6.571051,-3.771876,3.403796,-9.204899,FAKE
0.4834985,0.030772075,3109.8834949135103,3029.0411697841123,5646.896888469828,0.0732309626436781,-422.4518,118.252556,-1.4057949,33.47117,-8.551205,7.7370467,6.277552,0.9560143,-3.8893602,-1.982736,-5.62861,-11.802932,5.1315856,-2.0597572,-5.43772,-3.8264422,-5.7537065,-5.6854496,1.420144,0.0072525507,FAKE
0.34915745,0.055731863,4391.654437892343,2776.524030580226,7011.1614358836205,0.144806258979885,-299.2357,75.55241,-67.40329,76.31434,-31.516115,13.2734785,-30.81772,0.26638207,-10.941198,-0.4934186,-1.5696751,-8.320641,-1.5016388,-15.826857,-6.8148265,-16.001,-2.6153216,-5.8946652,-1.4570392,-3.9392114,FAKE
0.34986082,0.14174256,2927.068260038668,2472.404606579185,4803.141837284483,0.0951194324712643,-229.56169,136.88768,-41.330708,2.5957181,-21.373808,6.6077104,-24.941568,-8.244991,-10.873867,-13.320459,-4.0379486,9.5652075,-9.026923,-9.555889,-1.2131709,-15.56882,-4.1340456,-3.309412,-19.128548,-15.618213,FAKE
0.46905062,0.031991698,2039.54436416806,2663.9088102799656,3155.7280441810344,0.0539410470545977,-349.69754,164.97438,5.855849,28.211515,-9.19708,-1.7719039,-15.336804,-6.0926213,-11.134226,3.6462312,-3.2586403,10.223981,-3.4959514,-5.087473,-0.03153583,7.2570543,5.2675147,-1.7733388,-3.445561,-2.1540465,FAKE
0.4645034,0.021556757,1216.3494350970846,1690.1747079251154,1910.7623922413795,0.0351281878591954,-438.63983,207.41379,15.639098,28.061148,-2.6518626,-11.591543,-12.931966,-9.5601425,-1.9296343,4.016497,-5.049444,4.421848,5.22483,-2.199996,-0.15822825,3.718556,3.3436887,-1.1982862,-4.6477003,-1.6005778,FAKE
0.40626028,0.05589891,2804.137578620265,3130.5310927343944,5399.14129849138,0.0710533405172413,-333.84644,134.5106,-24.691011,17.114876,-21.739923,-12.1198225,-14.548013,2.774011,-14.822848,-14.029144,-10.014446,8.311989,-9.988833,-12.147553,-1.401889,-1.0921162,-5.5035076,-7.5270715,-4.496998,-7.124248,FAKE
0.391189,0.11461074,2666.710990579701,2299.777312768081,4532.863011853448,0.0860216864224138,-243.42996,150.60439,-46.82076,26.808361,-32.69482,10.050756,-12.105066,-6.056134,-8.703714,-16.965073,-1.3129352,-7.956275,2.6850188,1.3634297,3.6296678,-8.031278,-15.35074,-9.244475,-4.067118,-7.6974993,FAKE
0.3401785,0.1310484,3586.540170354341,2818.9816451782563,5997.120824353448,0.1148920168821839,-233.72331,97.22827,-35.20659,29.397703,-16.76316,-0.46816134,-29.746845,-18.736702,-19.024984,-4.9225035,-12.323545,-5.1163063,-15.127379,-9.239799,-3.6449964,-12.589901,-6.778633,-7.916528,-7.833545,-12.051314,FAKE
0.49119726,0.026105514,2130.6849140478857,2631.9865433900823,4029.9265894396553,0.0524593660201149,-348.83655,170.14833,-20.239536,56.53785,-26.79428,12.834567,-20.15578,-6.3493624,-3.9912755,-6.439406,4.785589,-5.0029454,10.2176285,-8.200105,3.210849,0.5098978,2.968384,-1.2553225,-2.1155956,1.8587583,FAKE
0.47973403,0.037263773,5136.648081529712,3404.466776684983,8702.136651400862,0.1648145653735632,-334.69055,71.67489,-25.31131,76.74474,-33.760212,25.864859,-12.528361,13.3357115,-6.6529603,5.117748,0.21659571,2.1492028,4.2646384,-4.085151,3.3915195,-2.1046848,8.1874485,-1.4224321,6.675598,0.7331594,FAKE
0.5102463,0.03127941,3636.093117331428,3110.177232183502,6715.884294181034,0.1058784572557471,-362.76675,123.51417,-25.46644,42.849792,-4.283927,17.24329,-8.178925,14.27078,-5.6127486,-6.898458,-0.5065166,4.4671702,1.1229639,0.32543746,1.3695109,-0.14924026,4.4135847,2.6831295,14.234429,-0.36686367,FAKE
0.30950278,0.11265813,2840.330475396231,2759.297997434985,5151.385708512931,0.0832659841954022,-274.9762,111.78013,-35.88727,20.167044,-40.520874,-12.020433,-20.986103,-5.625473,-6.8740277,-14.533284,-22.212643,-11.0403,-4.992618,-12.306355,-3.224305,-1.897456,-8.254614,-3.7527213,3.5457087,-14.092928,FAKE
0.39582297,0.07505493,3511.6321045540203,2569.19095168848,5856.536233836207,0.1231310614224138,-253.50243,114.86973,-53.71468,48.573143,-22.040037,14.665585,-9.228533,-10.141821,-8.367452,-14.606821,1.2677186,-6.721298,0.33630374,-11.545516,-4.8362184,-7.3774505,-4.1609507,-2.5720203,1.2629762,2.08091,FAKE
0.34042326,0.09498754,1565.133603895527,2208.187698773948,2765.655307112069,0.0314744971264367,-289.91656,178.60889,-30.792982,18.62527,-22.104616,17.748983,-11.172955,-7.9031577,-9.9677725,-28.497232,2.2385774,-18.406454,-5.994316,-1.7642018,-5.5098104,3.8079486,-11.0048065,-9.412917,-3.5351243,-3.6290638,FAKE
0.3251907,0.058270585,3453.3820039409525,2977.490079372932,6238.688712284483,0.0993063038793103,-313.01654,93.2354,-59.766674,24.405882,-35.00223,-27.26074,-13.128263,0.15758184,-8.67593,-19.842083,-3.626363,0.2298229,-2.3905942,-1.1843698,0.39750242,1.3511013,3.5933437,-2.2597926,-4.5646887,-3.5906649,FAKE
0.4401497,0.010297739,3549.440322349539,3125.7034811052617,5944.401602909483,0.0964102909482758,-531.674,116.08972,-3.920225,34.484184,-15.356619,18.61595,-7.387819,10.308354,-7.42337,-6.827672,-11.137037,2.7708325,-7.19643,-9.022372,-5.31087,-3.1442344,-3.9480455,-5.9738326,0.17809011,-6.036233,FAKE
0.51184833,0.050104164,3566.2433095867946,2964.432545241908,6416.647023168103,0.1095545977011494,-316.74652,122.52427,-23.381838,58.819157,-22.083761,13.456998,-4.5185695,-0.42300507,-1.8494368,-4.254506,4.2708817,-4.968318,7.956436,-0.8073232,3.905169,-1.87324,2.9586494,1.549671,3.978355,5.9079413,FAKE
0.41225326,0.097949006,4203.750471540895,2810.329599184335,6787.909146012931,0.1418709590517241,-243.91689,68.49023,-59.04671,52.217728,-23.85123,10.683145,-25.359972,-0.6199689,-9.716886,-6.3146424,-6.17547,-2.2605116,-11.956007,-13.738722,-4.5465727,-11.617103,-5.2609434,-3.9796677,2.8060274,-5.901372,FAKE
0.37981096,0.08017773,1472.0908423278472,2258.7210512625334,2575.3215921336205,0.0281126526580459,-291.99435,182.2148,-23.410318,35.411392,-11.242544,28.639668,-5.0348635,-8.023733,-10.958057,-15.394963,-9.821012,-8.145132,-4.8305054,-2.8614285,-1.7998838,-3.9160314,-7.5299687,-0.09737654,-2.0212433,-6.28901,FAKE
0.3718338,0.0789609,2446.7590117853683,2537.921643270785,4512.814857219828,0.064587823275862,-309.58157,120.02606,-33.007267,9.731674,-15.82508,-13.931019,-14.879723,-3.2699304,-8.425968,-16.924498,-4.973989,7.4994416,-11.609691,-9.156802,-2.5137067,-12.098507,-7.169827,-10.591997,-13.704724,-13.962361,FAKE
0.3970171,0.05669224,3349.974171545724,3059.872126950449,6810.432381465517,0.0991042564655172,-350.666,99.670944,-31.429516,19.22797,-14.676393,-8.441992,-13.012574,-7.531076,-11.418976,-9.516601,4.583161,-4.998049,1.5179477,-2.1662872,-6.896535,-2.3920424,2.1830912,-3.0791476,-6.8273454,-5.4175463,FAKE
0.44503042,0.010506069,3215.11330809278,3048.332032184073,5651.847050107759,0.0913927801724138,-546.9902,107.938644,-3.0023685,42.26905,-16.165428,12.657896,6.538805,6.899841,-5.424247,-1.8973427,-11.188702,-5.6751165,1.4343253,-6.174666,-6.5036426,-5.404221,-7.2306857,1.114116,0.8261842,-4.5511065,FAKE
0.44732735,0.05063157,2583.30959346844,2742.5505676493967,4999.663254310345,0.0683088631465517,-320.99527,147.09302,-42.057823,18.7876,-2.468833,-7.1215577,-12.041866,6.5599513,-8.537749,-15.720713,-3.332687,-0.4888913,-2.0558243,2.435516,1.9348309,-3.232468,-2.7906477,-3.2637002,-2.9500968,-9.002767,FAKE
0.4766603,0.029545067,1591.56403184123,2133.929920551413,2505.2768049568967,0.0424692438936781,-368.87393,184.92287,0.14389437,22.7704,-4.773802,-0.10336738,-9.95843,-9.562319,-0.545671,-7.255648,-4.2359095,0.7458878,4.637781,0.6882846,0.48647213,2.2086143,-0.9687839,-2.1089048,-0.98093635,0.3915181,FAKE
